DateTime;CO(GT);PT08.S1(CO);NMHC(GT);C6H6(GT);PT08.S2(NMHC);NOx(GT);PT08.S3(NOx);NO2(GT);PT08.S4(NO2);PT08.S5(O3);T;RH;AH
1079042400;1.5;965.0;61.0;4.7;749.0;94.0;1325.0;85.0;1333.0;821.0;8.2;63.4;0.6905
1079046000;1.0;913.0;26.0;2.6;629.0;47.0;1565.0;53.0;1252.0;552.0;8.2;60.8;0.6657
1079049600;1.7;1080.0;55.0;5.9;805.0;122.0;1254.0;97.0;1375.0;816.0;8.3;58.5;0.6438
1079053200;1.9;1044.0;53.0;6.4;829.0;133.0;1247.0;110.0;1378.0;832.0;7.7;59.7;0.6308
1079056800;1.4;988.0;40.0;4.1;718.0;82.0;1396.0;91.0;1304.0;692.0;7.1;61.8;0.6276
1079060400;0.8;889.0;21.0;1.9;574.0;-200.0;1680.0;-200.0;1187.0;512.0;7.0;62.3;0.6261
1079064000;-200.0;831.0;10.0;1.1;506.0;21.0;1893.0;32.0;1134.0;384.0;6.1;65.9;0.6248
1079067600;0.6;847.0;7.0;1.0;501.0;30.0;1895.0;44.0;1155.0;394.0;6.3;65.0;0.6233
1079071200;0.8;927.0;17.0;1.8;571.0;56.0;1685.0;71.0;1223.0;487.0;6.8;62.9;0.6234
1079074800;1.4;1091.0;33.0;4.4;730.0;109.0;1387.0;104.0;1361.0;748.0;6.4;65.1;0.6316
1079078400;4.4;1587.0;202.0;17.9;1236.0;307.0;897.0;141.0;1900.0;1400.0;7.3;63.1;0.6499
1079082000;-200.0;1545.0;-200.0;22.1;1353.0;-200.0;767.0;-200.0;2058.0;1588.0;9.2;56.2;0.6561
1079085600;3.1;1350.0;208.0;14.0;1118.0;187.0;912.0;122.0;1712.0;1237.0;13.2;41.7;0.632
1079089200;2.7;1263.0;166.0;11.6;1037.0;216.0;969.0;143.0;1598.0;1167.0;14.3;38.4;0.6243
1079092800;2.1;1206.0;114.0;10.2;986.0;143.0;1035.0;113.0;1537.0;959.0;15.0;36.5;0.6195
1079096400;2.5;1252.0;140.0;11.0;1016.0;160.0;1008.0;116.0;1593.0;983.0;16.1;34.5;0.6262
1079100000;2.7;1287.0;169.0;12.8;1078.0;163.0;949.0;123.0;1660.0;1061.0;16.3;35.7;0.656
1079103600;2.9;1353.0;185.0;14.2;1122.0;190.0;922.0;126.0;1740.0;1139.0;15.8;37.0;0.661
1079107200;2.8;1309.0;165.0;12.7;1073.0;178.0;954.0;120.0;1657.0;1112.0;15.9;37.2;0.6657
1079110800;2.4;1274.0;133.0;11.7;1041.0;150.0;1006.0;119.0;1610.0;994.0;16.9;34.3;0.6549
1079114400;3.9;1510.0;233.0;19.3;1277.0;206.0;812.0;149.0;1910.0;1410.0;15.1;39.6;0.6766
1079118000;3.7;1525.0;242.0;18.2;1246.0;202.0;821.0;145.0;1847.0;1448.0;14.4;43.4;0.7084
1079121600;6.6;1843.0;488.0;32.6;1610.0;340.0;624.0;170.0;2390.0;1887.0;12.9;50.5;0.7478
1079125200;4.4;1598.0;333.0;20.1;1299.0;274.0;752.0;149.0;1941.0;1627.0;12.1;53.3;0.7536
1079128800;3.5;1484.0;215.0;14.3;1127.0;253.0;839.0;139.0;1723.0;1491.0;11.0;59.1;0.774
1079132400;5.4;1677.0;367.0;21.8;1346.0;300.0;741.0;134.0;2062.0;1657.0;9.7;64.6;0.7771
1079136000;2.7;1280.0;122.0;9.6;964.0;193.0;963.0;113.0;1544.0;1285.0;9.5;64.1;0.7597
1079139600;1.9;1196.0;67.0;7.4;873.0;139.0;1071.0;97.0;1463.0;1144.0;9.1;63.9;0.7423
1079143200;1.6;1184.0;43.0;5.4;782.0;83.0;1176.0;82.0;1365.0;1043.0;8.8;63.9;0.7256
1079146800;1.7;1172.0;46.0;5.4;783.0;-200.0;1179.0;-200.0;1380.0;996.0;7.8;67.5;0.7173
1079150400;-200.0;1147.0;56.0;6.2;821.0;109.0;1132.0;83.0;1412.0;992.0;7.0;71.1;0.7158
1079154000;1.0;978.0;30.0;2.6;625.0;62.0;1420.0;65.0;1274.0;819.0;8.3;63.6;0.6982
1079157600;1.2;1100.0;27.0;2.9;646.0;53.0;1406.0;60.0;1268.0;835.0;7.2;67.5;0.6887
1079161200;1.5;1112.0;47.0;5.1;770.0;139.0;1228.0;77.0;1409.0;940.0;6.3;71.9;0.6932
1079164800;2.7;1336.0;132.0;11.8;1043.0;256.0;935.0;96.0;1678.0;1192.0;6.5;71.6;0.6945
1079168400;3.7;1408.0;239.0;15.1;1153.0;295.0;830.0;119.0;1777.0;1411.0;9.6;59.7;0.7124
1079172000;3.2;1447.0;160.0;12.9;1081.0;250.0;869.0;126.0;1667.0;1465.0;12.4;51.2;0.7335
1079175600;4.1;1542.0;283.0;16.1;1184.0;296.0;808.0;158.0;1780.0;1583.0;15.6;42.2;0.7451
1079179200;3.6;1451.0;210.0;14.0;1117.0;239.0;875.0;161.0;1679.0;1387.0;18.4;33.8;0.709
1079182800;2.8;1328.0;154.0;12.3;1059.0;153.0;987.0;124.0;1600.0;1101.0;19.4;31.3;0.695
1079186400;2.0;1207.0;112.0;8.6;924.0;118.0;1088.0;102.0;1488.0;850.0;18.0;34.8;0.7127
1079190000;2.0;1240.0;108.0;9.2;947.0;119.0;1049.0;116.0;1532.0;947.0;18.4;33.6;0.7042
1079193600;2.5;1306.0;111.0;10.2;987.0;138.0;1004.0;124.0;1554.0;1078.0;17.6;35.1;0.7012
1079197200;2.3;1326.0;97.0;10.6;1000.0;148.0;976.0;125.0;1602.0;1084.0;16.7;37.8;0.7117
1079200800;3.2;1473.0;191.0;15.5;1163.0;227.0;831.0;148.0;1779.0;1395.0;16.1;41.0;0.7451
1079204400;4.2;1609.0;258.0;19.6;1286.0;277.0;758.0;165.0;1922.0;1612.0;15.8;42.4;0.7569
1079208000;4.2;1611.0;284.0;19.2;1274.0;279.0;754.0;161.0;1915.0;1697.0;15.7;44.1;0.7786
1079211600;4.2;1621.0;269.0;18.3;1247.0;283.0;762.0;159.0;1860.0;1886.0;15.3;46.8;0.8091
1079215200;3.1;1444.0;180.0;13.1;1089.0;214.0;844.0;143.0;1748.0;1624.0;14.6;48.6;0.806
1079218800;2.6;1418.0;116.0;10.9;1010.0;172.0;892.0;130.0;1603.0;1536.0;14.7;49.3;0.8193
1079222400;2.9;1534.0;93.0;11.0;1013.0;190.0;889.0;129.0;1611.0;1535.0;13.9;53.6;0.8498
1079226000;2.8;1484.0;131.0;11.9;1045.0;174.0;880.0;119.0;1624.0;1530.0;14.6;51.5;0.8536
1079229600;2.5;1367.0;92.0;8.6;925.0;128.0;953.0;104.0;1543.0;1337.0;12.5;58.9;0.8537
1079233200;2.4;1344.0;132.0;9.7;968.0;-200.0;921.0;-200.0;1620.0;1278.0;11.6;63.4;0.8674
1079236800;-200.0;1130.0;56.0;5.2;773.0;70.0;1130.0;82.0;1452.0;1051.0;12.1;61.1;0.8603
1079240400;1.2;1062.0;32.0;3.7;691.0;53.0;1272.0;70.0;1377.0;929.0;11.5;63.1;0.8533
1079244000;1.0;1076.0;29.0;2.5;618.0;44.0;1395.0;63.0;1333.0;872.0;11.6;62.2;0.8473
1079247600;0.9;1028.0;27.0;2.4;615.0;74.0;1384.0;67.0;1340.0;853.0;10.4;67.6;0.853
1079251200;1.4;1155.0;36.0;4.2;722.0;101.0;1225.0;84.0;1414.0;959.0;11.6;62.7;0.853
1079254800;1.6;1235.0;57.0;6.4;828.0;118.0;1055.0;83.0;1527.0;1093.0;12.4;60.0;0.8627
1079258400;2.2;1332.0;129.0;8.6;923.0;144.0;952.0;98.0;1614.0;1225.0;14.5;53.1;0.8728
1079262000;2.8;1445.0;148.0;10.9;1009.0;176.0;878.0;114.0;1696.0;1355.0;16.9;46.1;0.8789
1079265600;2.8;1416.0;145.0;10.7;1002.0;161.0;907.0;119.0;1677.0;1262.0;19.3;38.3;0.8474
1079269200;2.0;1281.0;93.0;7.5;880.0;113.0;1084.0;104.0;1525.0;980.0;21.2;31.4;0.7812
1079272800;1.8;1207.0;84.0;7.5;879.0;103.0;1104.0;102.0;1490.0;872.0;21.4;30.2;0.7616
1079276400;1.9;1258.0;99.0;8.2;906.0;112.0;1081.0;107.0;1511.0;900.0;21.9;29.0;0.7525
1079280000;3.0;1458.0;150.0;11.9;1045.0;170.0;974.0;129.0;1646.0;1099.0;22.2;28.4;0.7516
1079283600;2.9;1438.0;156.0;12.0;1051.0;180.0;943.0;128.0;1668.0;1206.0;21.3;30.8;0.7696
1079287200;2.5;1478.0;122.0;12.2;1055.0;160.0;929.0;121.0;1671.0;1262.0;19.7;36.7;0.8307
1079290800;4.6;1808.0;262.0;20.6;1312.0;261.0;753.0;157.0;1993.0;1698.0;18.4;41.7;0.8732
1079294400;5.9;1898.0;341.0;23.1;1381.0;325.0;681.0;173.0;2103.0;1905.0;17.6;46.1;0.921
1079298000;3.4;1560.0;214.0;14.7;1140.0;217.0;784.0;146.0;1818.0;1648.0;16.7;49.6;0.932
1079301600;2.1;1324.0;100.0;9.0;940.0;146.0;924.0;121.0;1587.0;1423.0;16.3;51.0;0.9341
1079305200;2.2;1349.0;79.0;8.8;933.0;152.0;933.0;119.0;1617.0;1349.0;14.7;55.9;0.9314
1079308800;1.8;1239.0;66.0;7.4;872.0;104.0;985.0;99.0;1547.0;1250.0;14.8;54.7;0.9164
1079312400;1.8;1239.0;73.0;6.9;853.0;106.0;1010.0;93.0;1543.0;1174.0;14.0;57.0;0.9094
1079316000;1.8;1224.0;66.0;7.0;855.0;108.0;998.0;88.0;1566.0;1149.0;13.4;61.3;0.9361
1079319600;1.1;1078.0;44.0;4.4;734.0;-200.0;1128.0;-200.0;1487.0;1021.0;12.6;63.5;0.923
1079323200;-200.0;1078.0;44.0;4.0;711.0;66.0;1150.0;71.0;1468.0;1013.0;12.3;65.4;0.9351
1079326800;1.0;1075.0;39.0;3.9;703.0;88.0;1156.0;74.0;1464.0;1010.0;11.9;67.4;0.9375
1079330400;1.4;1157.0;51.0;6.4;830.0;138.0;1030.0;80.0;1584.0;1083.0;11.4;70.5;0.9475
1079334000;2.2;1314.0;107.0;9.7;966.0;228.0;897.0;89.0;1710.0;1235.0;11.3;70.2;0.9401
1079337600;5.5;1797.0;336.0;25.9;1451.0;360.0;652.0;114.0;2323.0;1680.0;12.4;63.9;0.917
1079341200;8.1;1961.0;618.0;36.7;1701.0;478.0;537.0;149.0;2665.0;2184.0;14.8;54.3;0.9076
1079344800;5.8;1771.0;438.0;26.6;1470.0;394.0;622.0;157.0;2262.0;1973.0;17.4;45.6;0.8993
1079348400;4.2;1564.0;334.0;20.1;1300.0;319.0;710.0;155.0;2029.0;1798.0;19.8;38.5;0.8801
1079352000;3.1;1430.0;221.0;14.1;1120.0;201.0;831.0;134.0;1783.0;1522.0;22.0;34.1;0.8904
1079355600;2.9;1417.0;207.0;14.9;1146.0;171.0;830.0;119.0;1831.0;1404.0;23.3;32.2;0.9096
1079359200;2.9;1400.0;191.0;15.4;1162.0;159.0;838.0;111.0;1829.0;1263.0;23.9;30.0;0.8757
1079362800;2.5;1317.0;185.0;12.1;1053.0;153.0;926.0;104.0;1707.0;1137.0;24.4;28.9;0.8736
1079366400;2.3;1318.0;141.0;11.5;1033.0;143.0;950.0;99.0;1675.0;1068.0;24.4;29.4;0.8848
1079370000;2.8;1445.0;214.0;14.8;1141.0;156.0;857.0;110.0;1824.0;1252.0;23.8;31.3;0.9137
1079373600;6.1;1917.0;471.0;32.1;1601.0;314.0;631.0;162.0;2447.0;1843.0;22.5;35.4;0.9547
1079377200;8.0;2040.0;685.0;39.2;1754.0;404.0;542.0;187.0;2679.0;2122.0;20.4;42.5;1.0086
1079380800;6.5;1895.0;538.0;31.0;1573.0;320.0;565.0;165.0;2443.0;1992.0;18.3;52.6;1.0945
1079384400;4.2;1595.0;319.0;19.9;1294.0;256.0;678.0;145.0;2058.0;1707.0;16.7;57.4;1.0786
1079388000;3.2;1439.0;224.0;15.3;1159.0;193.0;764.0;125.0;1856.0;1494.0;15.7;60.2;1.0654
1079391600;1.4;1142.0;67.0;6.9;852.0;89.0;1008.0;101.0;1547.0;1164.0;15.3;61.4;1.058
1079395200;2.1;1304.0;155.0;11.1;1019.0;127.0;852.0;103.0;1731.0;1272.0;14.1;65.7;1.0494
1079398800;1.2;1074.0;49.0;5.4;784.0;79.0;1098.0;88.0;1483.0;1040.0;14.8;60.6;1.0148
1079402400;0.8;968.0;29.0;2.8;640.0;43.0;1320.0;61.0;1386.0;867.0;14.8;59.2;0.9879
1079406000;0.7;929.0;25.0;2.3;608.0;-200.0;1376.0;-200.0;1364.0;826.0;13.6;62.1;0.9636
1079409600;-200.0;941.0;25.0;2.6;626.0;59.0;1316.0;59.0;1373.0;840.0;12.3;66.2;0.945
1079413200;0.6;937.0;17.0;2.0;585.0;38.0;1412.0;52.0;1348.0;793.0;12.8;63.2;0.9283
1079416800;0.9;1017.0;27.0;3.5;681.0;82.0;1246.0;64.0;1418.0;870.0;11.2;68.5;0.9081
1079420400;1.3;1171.0;50.0;5.1;770.0;99.0;1162.0;70.0;1467.0;930.0;11.0;66.5;0.8705
1079424000;3.4;1541.0;218.0;16.2;1185.0;263.0;770.0;97.0;1889.0;1407.0;11.7;63.7;0.8719
1079427600;3.7;1539.0;285.0;19.7;1287.0;229.0;698.0;95.0;2055.0;1507.0;13.6;56.3;0.8743
1079431200;5.3;1735.0;437.0;25.1;1431.0;396.0;628.0;150.0;2211.0;1843.0;17.8;42.9;0.8672
1079434800;4.1;1571.0;327.0;20.0;1297.0;314.0;730.0;162.0;1973.0;1729.0;21.4;33.3;0.8417
1079438400;3.3;1452.0;283.0;18.3;1250.0;217.0;776.0;154.0;1868.0;1583.0;24.4;27.4;0.8231
1079442000;4.0;1579.0;366.0;22.3;1359.0;252.0;724.0;161.0;1998.0;1671.0;25.3;26.1;0.8264
1079445600;3.8;1466.0;318.0;20.4;1309.0;263.0;773.0;161.0;1897.0;1491.0;25.8;23.2;0.7589
1079449200;2.8;1280.0;228.0;14.6;1136.0;180.0;893.0;128.0;1675.0;1240.0;27.0;20.2;0.7094
1079452800;2.9;1407.0;201.0;16.6;1197.0;184.0;905.0;129.0;1759.0;1313.0;28.2;18.6;0.7014
1079456400;2.9;1389.0;199.0;15.8;1173.0;190.0;898.0;133.0;1739.0;1363.0;28.0;19.1;0.7098
1079460000;3.4;1447.0;237.0;17.8;1235.0;184.0;859.0;139.0;1778.0;1296.0;23.9;25.7;0.7519
1079463600;3.9;1551.0;261.0;19.1;1271.0;181.0;800.0;137.0;1875.0;1432.0;21.3;34.8;0.873
1079467200;3.2;1474.0;230.0;15.8;1173.0;166.0;854.0;143.0;1776.0;1432.0;20.4;36.7;0.8704
1079470800;5.1;1800.0;349.0;24.9;1426.0;317.0;700.0;177.0;2106.0;2034.0;19.0;41.3;0.9007
1079474400;2.6;1379.0;183.0;13.5;1101.0;184.0;818.0;138.0;1710.0;1602.0;17.9;45.9;0.9342
1079478000;1.7;1201.0;88.0;9.1;943.0;130.0;935.0;117.0;1560.0;1362.0;16.7;48.9;0.9226
1079481600;1.7;1205.0;85.0;8.6;925.0;132.0;922.0;107.0;1547.0;1314.0;15.5;52.9;0.9271
1079485200;1.2;1072.0;47.0;5.4;784.0;95.0;1066.0;90.0;1442.0;1114.0;15.5;51.9;0.9059
1079488800;0.9;998.0;34.0;4.1;714.0;70.0;1169.0;79.0;1383.0;992.0;14.1;55.6;0.891
1079492400;0.7;933.0;26.0;2.6;625.0;-200.0;1292.0;-200.0;1332.0;884.0;13.1;57.9;0.8666
1079496000;-200.0;883.0;17.0;1.9;577.0;54.0;1396.0;60.0;1303.0;808.0;12.7;57.9;0.8447
1079499600;0.5;869.0;11.0;1.6;554.0;28.0;1460.0;40.0;1268.0;667.0;11.8;58.0;0.8026
1079503200;0.5;891.0;18.0;1.9;576.0;46.0;1417.0;53.0;1289.0;733.0;11.9;57.4;0.7978
1079506800;1.6;1173.0;84.0;7.5;878.0;160.0;1038.0;84.0;1556.0;1052.0;9.9;65.2;0.7956
1079510400;4.1;1587.0;260.0;21.4;1334.0;320.0;702.0;108.0;1999.0;1534.0;11.1;60.2;0.7958
1079514000;6.6;1852.0;534.0;36.4;1696.0;377.0;553.0;127.0;2535.0;1931.0;14.1;50.0;0.802
1079517600;4.3;1522.0;368.0;21.3;1331.0;280.0;703.0;134.0;2026.0;1734.0;17.7;40.1;0.8048
1079521200;2.9;1438.0;200.0;15.4;1161.0;221.0;819.0;135.0;1782.0;1595.0;21.1;33.4;0.8265
1079524800;2.5;1393.0;145.0;12.5;1067.0;210.0;905.0;142.0;1654.0;1490.0;24.3;28.3;0.8471
1079528400;2.8;1452.0;188.0;15.1;1152.0;204.0;861.0;153.0;1747.0;1508.0;25.6;25.6;0.8254
1079532000;2.6;1389.0;152.0;13.7;1108.0;161.0;887.0;123.0;1712.0;1334.0;25.9;25.9;0.8503
1079535600;2.0;1207.0;103.0;10.4;994.0;135.0;1013.0;104.0;1520.0;1045.0;26.8;18.7;0.65
1079539200;2.9;1365.0;193.0;15.2;1154.0;186.0;940.0;129.0;1679.0;1221.0;29.3;15.8;0.6309
1079542800;2.5;1247.0;134.0;12.3;1060.0;147.0;1032.0;114.0;1525.0;1069.0;28.5;14.9;0.5708
1079546400;5.0;1557.0;386.0;27.0;1478.0;299.0;793.0;158.0;1981.0;1569.0;25.9;16.0;0.5237
1079550000;7.6;1973.0;577.0;38.4;1737.0;411.0;617.0;194.0;2414.0;2306.0;23.1;26.5;0.7403
1079553600;6.7;1975.0;523.0;35.1;1667.0;347.0;597.0;182.0;2416.0;2359.0;20.5;38.2;0.9133
1079557200;5.7;1795.0;472.0;27.2;1485.0;336.0;653.0;180.0;2174.0;2050.0;19.1;42.6;0.9294
1079560800;2.8;1444.0;206.0;15.0;1150.0;202.0;770.0;136.0;1727.0;1727.0;17.2;44.1;0.8558
1079564400;2.6;1488.0;216.0;15.7;1171.0;178.0;731.0;127.0;1778.0;1705.0;16.0;50.9;0.9206
1079568000;2.3;1371.0;159.0;13.0;1083.0;154.0;796.0;116.0;1669.0;1551.0;14.8;53.9;0.9024
1079571600;1.4;1161.0;70.0;8.1;904.0;92.0;947.0;107.0;1502.0;1240.0;14.3;55.4;0.8975
1079575200;1.0;1064.0;44.0;5.5;787.0;61.0;1057.0;88.0;1407.0;1115.0;14.8;52.1;0.8686
1079578800;0.7;970.0;42.0;3.6;687.0;-200.0;1196.0;-200.0;1351.0;969.0;13.9;53.9;0.8501
1079582400;-200.0;954.0;28.0;2.9;645.0;60.0;1260.0;78.0;1334.0;925.0;11.6;61.9;0.8442
1079586000;0.6;931.0;20.0;2.5;623.0;37.0;1293.0;57.0;1307.0;828.0;12.0;58.9;0.8233
1079589600;0.7;938.0;26.0;3.0;650.0;68.0;1251.0;71.0;1333.0;893.0;10.9;62.1;0.8113
1079593200;1.5;1166.0;78.0;7.7;885.0;139.0;1005.0;85.0;1551.0;1075.0;10.6;63.3;0.8067
1079596800;4.7;1643.0;319.0;23.3;1384.0;339.0;667.0;124.0;2094.0;1610.0;11.5;60.0;0.8117
1079600400;6.6;1934.0;506.0;35.8;1682.0;421.0;541.0;151.0;2468.0;2051.0;14.3;50.6;0.8186
1079604000;4.5;1617.0;-200.0;21.3;1333.0;349.0;686.0;150.0;2010.0;1819.0;17.8;40.5;0.821
1079607600;2.8;1473.0;-200.0;14.3;1127.0;224.0;831.0;152.0;1752.0;1568.0;20.8;34.4;0.8365
1079611200;2.2;1379.0;-200.0;12.5;1068.0;171.0;899.0;139.0;1663.0;1374.0;23.8;28.2;0.8219
1079614800;2.2;1385.0;-200.0;12.2;1056.0;149.0;891.0;133.0;1648.0;1268.0;24.2;28.7;0.8515
1079618400;2.3;1379.0;-200.0;13.1;1087.0;137.0;901.0;126.0;1660.0;1144.0;25.2;24.9;0.7829
1079622000;2.2;1322.0;-200.0;14.4;1129.0;149.0;934.0;128.0;1639.0;1109.0;27.0;17.8;0.6275
1079625600;2.8;1496.0;-200.0;16.8;1205.0;172.0;822.0;169.0;1767.0;1347.0;27.1;23.1;0.818
1079629200;2.7;1409.0;-200.0;14.5;1131.0;166.0;873.0;149.0;1689.0;1206.0;25.8;23.9;0.7832
1079632800;3.7;1513.0;-200.0;21.5;1338.0;214.0;764.0;156.0;1957.0;1397.0;23.0;26.8;0.7446
1079636400;5.1;1667.0;-200.0;26.4;1464.0;280.0;683.0;168.0;2118.0;1588.0;20.7;31.1;0.7523
1079640000;5.1;1667.0;-200.0;26.0;1453.0;276.0;684.0;176.0;2051.0;1569.0;18.6;36.2;0.7676
1079643600;3.2;1430.0;-200.0;14.1;1121.0;178.0;814.0;135.0;1732.0;1322.0;16.0;48.4;0.8768
1079647200;2.1;1333.0;-200.0;10.3;989.0;129.0;885.0;121.0;1621.0;1194.0;14.5;57.8;0.9456
1079650800;1.7;1262.0;-200.0;8.3;911.0;95.0;948.0;99.0;1545.0;1062.0;13.1;64.2;0.9606
1079654400;2.0;1287.0;-200.0;8.9;936.0;126.0;918.0;106.0;1606.0;1040.0;12.0;69.7;0.9735
1079658000;1.6;1134.0;-200.0;6.6;840.0;103.0;1021.0;96.0;1501.0;917.0;11.9;71.1;0.9915
1079661600;0.9;999.0;-200.0;3.6;688.0;48.0;1229.0;63.0;1380.0;594.0;12.5;69.3;1.0029
1079665200;0.7;961.0;-200.0;2.5;622.0;-200.0;1382.0;-200.0;1301.0;430.0;12.5;67.5;0.9768
1079668800;-200.0;934.0;-200.0;1.8;569.0;20.0;1440.0;32.0;1280.0;397.0;12.3;67.7;0.9665
1079672400;0.5;913.0;-200.0;1.3;525.0;18.0;1620.0;28.0;1260.0;370.0;12.5;66.8;0.962
1079676000;0.7;969.0;-200.0;2.3;607.0;56.0;1373.0;61.0;1324.0;438.0;12.3;66.3;0.9487
1079679600;1.5;1182.0;-200.0;6.7;845.0;115.0;1054.0;99.0;1539.0;704.0;12.4;64.9;0.9332
1079683200;4.8;1740.0;-200.0;22.8;1372.0;320.0;671.0;157.0;2144.0;1476.0;13.0;61.6;0.9209
1079686800;6.2;1819.0;-200.0;31.3;1582.0;357.0;575.0;166.0;2456.0;1716.0;13.6;58.8;0.912
1079690400;4.0;1427.0;-200.0;19.2;1275.0;253.0;701.0;149.0;1980.0;1398.0;13.9;57.1;0.9032
1079694000;3.3;1390.0;-200.0;16.4;1191.0;218.0;759.0;135.0;1879.0;1268.0;14.5;54.4;0.8917
1079697600;2.8;1283.0;-200.0;14.0;1117.0;192.0;813.0;127.0;1751.0;1188.0;15.5;50.1;0.8744
1079701200;3.0;1304.0;-200.0;15.3;1157.0;176.0;793.0;122.0;1801.0;1171.0;16.1;47.6;0.8655
1079704800;3.3;1364.0;-200.0;16.7;1202.0;198.0;771.0;135.0;1875.0;1250.0;16.3;47.1;0.864
1079708400;3.5;1410.0;-200.0;19.0;1268.0;212.0;724.0;139.0;1957.0;1344.0;16.4;47.5;0.8791
1079712000;4.0;1476.0;-200.0;19.4;1280.0;249.0;708.0;147.0;1955.0;1378.0;16.1;50.2;0.9094
1079715600;4.6;1522.0;-200.0;20.9;1320.0;270.0;690.0;158.0;2005.0;1435.0;16.0;50.7;0.9142
1079719200;4.1;1442.0;-200.0;20.2;1301.0;231.0;704.0;146.0;1952.0;1372.0;15.8;50.3;0.8989
1079722800;4.5;1469.0;-200.0;21.7;1344.0;251.0;677.0;144.0;1997.0;1471.0;15.5;50.6;0.884
1079726400;3.9;1467.0;-200.0;19.8;1292.0;210.0;698.0;138.0;1942.0;1439.0;15.4;51.4;0.8956
1079730000;4.0;1421.0;-200.0;16.7;1202.0;249.0;748.0;143.0;1854.0;1429.0;15.2;53.1;0.9117
1079733600;2.2;1175.0;-200.0;9.1;945.0;143.0;904.0;116.0;1604.0;1081.0;14.7;57.6;0.9573
1079737200;2.1;1215.0;-200.0;8.3;912.0;127.0;948.0;109.0;1547.0;993.0;14.2;58.3;0.938
1079740800;1.7;1127.0;-200.0;5.8;802.0;104.0;1064.0;92.0;1447.0;837.0;13.8;57.9;0.9085
